# wavenumber (cm^-1)	 Absorbance
3999.6727724075,0.0088232337
3999.4317120910,0.0088435756
3999.1906517744,0.0088018896
3998.9495914578,0.0087411897
3998.7085311413,0.0087345336
3998.4674708247,0.0088065388
3998.2264105082,0.0089031011
3997.9853501916,0.0089091519
3997.7442898750,0.0088297594
3997.5032295585,0.0087800436
3997.2621692419,0.0087737311
3997.0211089253,0.0087549509
3996.7800486088,0.0087155178
3996.5389882922,0.0086836154
3996.2979279757,0.0086962646
3996.0568676591,0.0087654106
3995.8158073425,0.0088432590
3995.5747470260,0.0088692289
3995.3336867094,0.0088414624
3995.0926263928,0.0087992745
3994.8515660763,0.0087758703
3994.6105057597,0.0087650670
3994.3694454432,0.0087360395
3994.1283851266,0.0087155970
3993.8873248100,0.0087522827
3993.6462644935,0.0087944400
3993.4052041769,0.0087642483
3993.1641438603,0.0086944951
3992.9230835438,0.0086512389
3992.6820232272,0.0086629111
3992.4409629107,0.0087343752
3992.1999025941,0.0088183470
3991.9588422775,0.0088635487
3991.7177819610,0.0088786082
3991.4767216444,0.0088827824
3991.2356613278,0.0088607743
3990.9946010113,0.0088029727
3990.7535406947,0.0087595470
3990.5124803782,0.0087856175
3990.2714200616,0.0088147810
3990.0303597450,0.0087453630
3989.7892994285,0.0086693540
3989.5482391119,0.0087145139
3989.3071787953,0.0087666782
3989.0661184788,0.0087117944
3988.8250581622,0.0086859390
3988.5839978456,0.0087846136
3988.3429375291,0.0088662701
3988.1018772125,0.0088452138
3987.8608168960,0.0087929079
3987.6197565794,0.0087320246
3987.3786962628,0.0086638881
3987.1376359463,0.0086372960
3986.8965756297,0.0086482018
3986.6555153131,0.0086440304
3986.4144549966,0.0086346027
3986.1733946800,0.0086634392
3985.9323343635,0.0086959479
3985.6912740469,0.0086839320
3985.4502137303,0.0086780954
3985.2091534138,0.0087241810
3984.9680930972,0.0087521244
3984.7270327806,0.0087104738
3984.4859724641,0.0086683771
3984.2449121475,0.0086724181
3984.0038518310,0.0087014148
3983.7627915144,0.0087658335
3983.5217311978,0.0088177128
3983.2806708813,0.0087673124
3983.0396105647,0.0086873649
3982.7985502481,0.0086816344
3982.5574899316,0.0087167062
3982.3164296150,0.0087412158
3982.0753692985,0.0087361187
3981.8343089819,0.0087052705
3981.5932486653,0.0086883418
3981.3521883488,0.0087041613
3981.1111280322,0.0087338211
3980.8700677156,0.0087726479
3980.6290073991,0.0088041872
3980.3879470825,0.0087916926
3980.1468867660,0.0087582786
3979.9058264494,0.0087282220
3979.6647661328,0.0086808419
3979.4237058163,0.0086399633
3979.1826454997,0.0086433431
3978.9415851831,0.0086656576
3978.7005248666,0.0086699091
3978.4594645500,0.0087041613
3978.2184042335,0.0088099726
3977.9773439169,0.0088719502
3977.7362836003,0.0088121388
3977.4952232838,0.0087389182
3977.2541629672,0.0087223323
3977.0131026506,0.0087071722
3976.7720423341,0.0086802877
3976.5309820175,0.0086903488
3976.2899217010,0.0087272180
3976.0488613844,0.0087550832
